date,Mkt-RF,SMB,HML,RMW,CMA,RF,daily_return
2014-01-03,0.0003,0.004,0.0004,-0.36,0.14,0.0,-0.004730177883241815
2014-01-06,-0.0034000000000000002,-0.0054,0.0029,-0.32,0.1,0.0,0.013907990211890153
2014-01-07,0.0068000000000000005,0.0031,-0.0037,-0.07,-0.27,0.0,-0.008715403445478609
2014-01-08,0.0004,-0.0001,-0.0011,-0.48,-0.02,0.0,0.005164748073087866
2014-01-09,0.0002,0.0017000000000000001,-0.0044,-0.54,-0.42,0.0,-0.012237134202896072
2014-01-10,0.0027,0.0045000000000000005,-0.008199999999999999,-0.3,-0.33,0.0,-0.001611081384852442
2014-01-13,-0.0132,-0.001,0.001,-0.1,0.46,0.0,-0.010301504172436693
2014-01-14,0.0115,0.0011,-0.0031,-0.07,-0.35,0.0,0.01969228896618569
2014-01-15,0.0053,0.0021,0.002,-0.4,-0.01,0.0,-0.005366624859338254
2014-01-16,-0.0007000000000000001,0.0025,-0.006999999999999999,0.01,-0.27,0.0,-0.0008640135550135319
2014-01-17,-0.0039000000000000003,0.0001,0.0002,-0.19,0.04,0.0,-0.009022614383339067
2014-01-21,0.003,0.0044,0.0,-0.22,-0.33,0.0,0.017620299321251753
2014-01-22,0.0015,0.003,0.0022,-0.15,-0.19,0.0,-0.0016531962315078363
2014-01-23,-0.0086,0.001,-0.0054,0.19,-0.09,0.0,0.038974383994022865
2014-01-24,-0.0219,-0.0038,0.0017000000000000001,0.21,0.04,0.0,-0.024515026337750156
2014-01-27,-0.006500000000000001,-0.0079,0.0038,0.45,0.4,0.0,-0.011692903043453162
2014-01-28,0.0073,0.0015,0.0007000000000000001,-0.84,0.16,0.0,0.026472134711017503
2014-01-29,-0.010700000000000001,-0.0034000000000000002,0.0021,0.15,0.16,0.0,-0.02030232962386347
2014-01-30,0.012199999999999999,0.0022,-0.0038,-0.87,-0.49,0.0,0.05571432567030521
2014-01-31,-0.0066,-0.001,-0.0034000000000000002,0.2,-0.21,0.0,0.0059634548421945155
2014-02-03,-0.024900000000000002,-0.0085,0.0027,0.2,0.05,0.0,-0.01919224609199044
2014-02-04,0.0077,-0.0006,-0.0003,-0.15,0.21,0.0,0.010704384950409374
2014-02-05,-0.0023,-0.0058,0.002,0.13,0.2,0.0,-0.00317685093767639
2014-02-06,0.0121,-0.0042,0.0027,0.07,-0.06,0.0,0.007009157554724865
2014-02-07,0.013300000000000001,-0.0024,-0.0063,-0.44,-0.47,0.0,0.03414381219827467
2014-02-10,0.0016,0.0007000000000000001,-0.004699999999999999,-0.29,-0.18,0.0,-0.0025803255290424154
2014-02-11,0.0109,-0.0017000000000000001,0.0025,0.01,0.1,0.0,0.013241760280287895
2014-02-12,0.0011,0.0026,-0.0006,0.18,-0.01,0.0,-0.00948886880463684
2014-02-13,0.0072,0.006500000000000001,-0.0007000000000000001,-0.22,-0.33,0.0,0.02605222856895084
2014-02-14,0.0042,-0.0033,0.0036,0.37,0.35,0.0,-0.0016485157908555648
2014-02-18,0.0027,0.009399999999999999,-0.0024,-0.31,-0.26,0.0,0.0024883751022950484
2014-02-19,-0.0074,-0.0032,-0.0044,0.33,0.07,0.0,-0.006625261781210812
2014-02-20,0.006999999999999999,0.0052,-0.0022,-0.02,-0.2,0.0,0.01263364419639057
2014-02-21,-0.0009,0.0037,-0.0002,0.0,-0.06,0.0,-0.00907727912760814
2014-02-24,0.006500000000000001,0.0021,0.0033,-0.16,0.0,0.0,0.024694126304467767
2014-02-25,-0.001,0.0007000000000000001,-0.0059,-0.09,0.03,0.0,0.0012367213277193478
2014-02-26,0.0012,0.0066,-0.001,-0.02,0.01,0.0,-0.006380129029336712
2014-02-27,0.0054,0.0008,0.0001,-0.24,-0.03,0.0,0.002659905210584901
2014-02-28,0.0015,-0.0067,0.0084,0.44,0.13,0.0,-0.007292683786278675
2014-03-03,-0.006999999999999999,0.0009,0.0014000000000000002,0.04,0.11,0.0,-0.0072264374130297515
2014-03-04,0.0167,0.0106,-0.0012,-0.45,-0.15,0.0,0.01701256968846243
2014-03-05,0.0001,-0.0021,0.0029,-0.57,-0.11,0.0,0.015433029756869443
2014-03-06,0.0016,-0.0024,0.0077,0.32,0.35,0.0,-0.005831349921302298
2014-03-07,0.0004,-0.0001,0.0052,0.18,0.31,0.0,-0.007294687699029079
2014-03-10,-0.0009,-0.0007000000000000001,0.0009,0.01,-0.12,0.0,0.0044014496064201936
2014-03-11,-0.0062,-0.0054,-0.0019,0.45,-0.03,0.0,-0.012205411124297516
2014-03-12,0.0013,0.0029,-0.0017000000000000001,-0.09,-0.41,0.0,0.004713642358574299
2014-03-13,-0.0121,-0.0006,0.0022,0.18,0.07,0.0,-0.017934380983563147
2014-03-14,-0.0016,0.0068000000000000005,-0.0009,0.19,0.02,0.0,-0.012218485290781733
2014-03-17,0.009000000000000001,-0.0036,0.0002,0.15,0.05,0.0,0.007108032279929066
2014-03-18,0.008199999999999999,0.0069,-0.0039000000000000003,-0.32,-0.27,0.0,0.004721783291627757
2014-03-19,-0.0059,-0.0013,0.0062,-0.36,0.03,0.0,-0.007875819767744319
2014-03-20,0.0052,-0.0036,0.01,-0.13,0.31,0.0,-0.005258232278356867
2014-03-21,-0.0037,-0.0017000000000000001,0.0086,0.5,0.41,0.0,-0.015209372993138515
2014-03-24,-0.0064,-0.0077,0.009000000000000001,0.66,0.37,0.0,-0.04092580842423699
2014-03-25,0.003,-0.0034000000000000002,0.0015,0.28,0.17,0.0,4.561010326642467e-05
2014-03-26,-0.0089,-0.0111,0.0024,0.69,0.44,0.0,-0.031053764558608754
2014-03-27,-0.0019,-0.0012,-0.0034000000000000002,0.1,0.01,0.0,-0.007036601305440815
2014-03-28,0.0040999999999999995,-0.0036,0.0055000000000000005,0.57,0.31,0.0,-0.009452447576054457
2014-03-31,0.0097,0.009899999999999999,-0.0016,-0.22,0.05,0.0,-0.005693535467748645
2014-04-01,0.0087,0.006500000000000001,-0.0037,-0.18,-0.29,0.0,0.0298526966673891
2014-04-02,0.0029,0.0004,0.0014000000000000002,0.07,0.05,0.0,-0.0010357143623754839
2014-04-03,-0.0031,-0.0077,0.008,0.56,0.39,0.0,-0.026851480973627995
2014-04-04,-0.0147,-0.0101,0.0069,0.63,0.45,0.0,-0.04200263815686456
2014-04-07,-0.0126,-0.0034999999999999996,-0.0007000000000000001,0.23,0.06,0.0,-0.0030536533607467
2014-04-08,0.005,0.0027,-0.0021,0.02,-0.11,0.0,0.02457414890310572
2014-04-09,0.0121,0.0022,-0.0086,-0.46,-0.49,0.0,0.033703871389923146
2014-04-10,-0.022400000000000003,-0.0060999999999999995,0.0077,0.83,0.72,0.0,-0.04532440842550334
2014-04-11,-0.010700000000000001,-0.0038,0.0023,0.43,0.03,0.0,-0.016017567329149718
2014-04-14,0.006999999999999999,-0.004699999999999999,0.002,0.33,-0.16,0.0,0.0086510670452693
2014-04-15,0.0059,-0.0034999999999999996,0.002,-0.02,-0.14,0.0,-0.002914792751845696
2014-04-16,0.0113,0.0001,-0.0036,-0.05,-0.06,0.0,0.016695764068286323
2014-04-17,0.0023,0.0031,0.0023,-0.19,0.1,0.0,0.0030744131512654427
2014-04-21,0.0036,0.0018,-0.0042,0.04,-0.09,0.0,0.016702609013522718
2014-04-22,0.0058,0.0069,-0.0034000000000000002,-0.7,-0.07,0.0,0.03196832140462558
2014-04-23,-0.0031,-0.0054,0.0091,0.2,0.22,0.0,-0.02981136646344984
