date,Mkt-RF,SMB,HML,RMW,CMA,RF,daily_return
2014-01-03,0.03,0.4,0.04,-0.36,0.14,0.0,-0.004730177883241815
2014-01-06,-0.34,-0.54,0.29,-0.32,0.1,0.0,0.013907990211890153
2014-01-07,0.68,0.31,-0.37,-0.07,-0.27,0.0,-0.008715403445478609
2014-01-08,0.04,-0.01,-0.11,-0.48,-0.02,0.0,0.005164748073087866
2014-01-09,0.02,0.17,-0.44,-0.54,-0.42,0.0,-0.012237134202896072
2014-01-10,0.27,0.45,-0.82,-0.3,-0.33,0.0,-0.001611081384852442
2014-01-13,-1.32,-0.1,0.1,-0.1,0.46,0.0,-0.010301504172436693
2014-01-14,1.15,0.11,-0.31,-0.07,-0.35,0.0,0.01969228896618569
2014-01-15,0.53,0.21,0.2,-0.4,-0.01,0.0,-0.005366624859338254
2014-01-16,-0.07,0.25,-0.7,0.01,-0.27,0.0,-0.0008640135550135319
2014-01-17,-0.39,0.01,0.02,-0.19,0.04,0.0,-0.009022614383339067
2014-01-21,0.3,0.44,0.0,-0.22,-0.33,0.0,0.017620299321251753
2014-01-22,0.15,0.3,0.22,-0.15,-0.19,0.0,-0.0016531962315078363
2014-01-23,-0.86,0.1,-0.54,0.19,-0.09,0.0,0.038974383994022865
2014-01-24,-2.19,-0.38,0.17,0.21,0.04,0.0,-0.024515026337750156
2014-01-27,-0.65,-0.79,0.38,0.45,0.4,0.0,-0.011692903043453162
2014-01-28,0.73,0.15,0.07,-0.84,0.16,0.0,0.026472134711017503
2014-01-29,-1.07,-0.34,0.21,0.15,0.16,0.0,-0.02030232962386347
2014-01-30,1.22,0.22,-0.38,-0.87,-0.49,0.0,0.05571432567030521
2014-01-31,-0.66,-0.1,-0.34,0.2,-0.21,0.0,0.0059634548421945155
2014-02-03,-2.49,-0.85,0.27,0.2,0.05,0.0,-0.01919224609199044
2014-02-04,0.77,-0.06,-0.03,-0.15,0.21,0.0,0.010704384950409374
2014-02-05,-0.23,-0.58,0.2,0.13,0.2,0.0,-0.00317685093767639
2014-02-06,1.21,-0.42,0.27,0.07,-0.06,0.0,0.007009157554724865
2014-02-07,1.33,-0.24,-0.63,-0.44,-0.47,0.0,0.03414381219827467
2014-02-10,0.16,0.07,-0.47,-0.29,-0.18,0.0,-0.0025803255290424154
2014-02-11,1.09,-0.17,0.25,0.01,0.1,0.0,0.013241760280287895
2014-02-12,0.11,0.26,-0.06,0.18,-0.01,0.0,-0.00948886880463684
2014-02-13,0.72,0.65,-0.07,-0.22,-0.33,0.0,0.02605222856895084
2014-02-14,0.42,-0.33,0.36,0.37,0.35,0.0,-0.0016485157908555648
2014-02-18,0.27,0.94,-0.24,-0.31,-0.26,0.0,0.0024883751022950484
2014-02-19,-0.74,-0.32,-0.44,0.33,0.07,0.0,-0.006625261781210812
2014-02-20,0.7,0.52,-0.22,-0.02,-0.2,0.0,0.01263364419639057
2014-02-21,-0.09,0.37,-0.02,0.0,-0.06,0.0,-0.00907727912760814
2014-02-24,0.65,0.21,0.33,-0.16,0.0,0.0,0.024694126304467767
2014-02-25,-0.1,0.07,-0.59,-0.09,0.03,0.0,0.0012367213277193478
2014-02-26,0.12,0.66,-0.1,-0.02,0.01,0.0,-0.006380129029336712
2014-02-27,0.54,0.08,0.01,-0.24,-0.03,0.0,0.002659905210584901
2014-02-28,0.15,-0.67,0.84,0.44,0.13,0.0,-0.007292683786278675
2014-03-03,-0.7,0.09,0.14,0.04,0.11,0.0,-0.0072264374130297515
2014-03-04,1.67,1.06,-0.12,-0.45,-0.15,0.0,0.01701256968846243
2014-03-05,0.01,-0.21,0.29,-0.57,-0.11,0.0,0.015433029756869443
2014-03-06,0.16,-0.24,0.77,0.32,0.35,0.0,-0.005831349921302298
2014-03-07,0.04,-0.01,0.52,0.18,0.31,0.0,-0.007294687699029079
2014-03-10,-0.09,-0.07,0.09,0.01,-0.12,0.0,0.0044014496064201936
2014-03-11,-0.62,-0.54,-0.19,0.45,-0.03,0.0,-0.012205411124297516
2014-03-12,0.13,0.29,-0.17,-0.09,-0.41,0.0,0.004713642358574299
2014-03-13,-1.21,-0.06,0.22,0.18,0.07,0.0,-0.017934380983563147
2014-03-14,-0.16,0.68,-0.09,0.19,0.02,0.0,-0.012218485290781733
