Date,return,Mkt-RF,SMB,HML,RMW,CMA,RF
2014-01,-0.011459338446458966,-0.0332,0.0058,-0.0207,-3.88,-1.42,0.0
2014-02,0.07622521163331974,0.04650000000000001,0.0014000000000000002,-0.0031,-0.23,-0.45,0.0
2014-03,-0.020068376864533777,0.0043,-0.0109,0.0493,2.13,1.92,0.0
2014-04,-0.020401269324168525,-0.0019,-0.0412,0.011699999999999999,3.48,1.02,0.0
2014-05,0.04175681796615649,0.0206,-0.0189,-0.0013,0.05,-1.0,0.0
2014-06,0.0322557080406658,0.026099999999999998,0.0311,-0.006999999999999999,-1.89,-2.0,0.0
2014-07,0.000842348623247613,-0.0204,-0.0429,0.0003,0.89,0.52,0.0
2014-08,0.053977058202119954,0.0424,0.0031,-0.0045000000000000005,-0.64,-0.7,0.0
2014-09,-0.010442227696115691,-0.0197,-0.037200000000000004,-0.0134,1.3,-0.51,0.0
2014-10,0.04310271514865338,0.0252,0.0373,-0.0181,-0.57,-0.11,0.0
2014-11,0.04237952547607571,0.0255,-0.022799999999999997,-0.030899999999999997,1.5,0.27,0.0
2014-12,-0.011213515772359295,-0.0006,0.0286,0.0227,-1.22,0.96,0.0
2015-01,-0.017874502708705498,-0.0311,-0.0092,-0.0358,1.61,-1.65,0.0
2015-02,0.06295311234043877,0.0613,0.0032,-0.018600000000000002,-1.12,-1.82,0.0
2015-03,-0.032338034103951196,-0.011200000000000002,0.030699999999999998,-0.0037,0.09,-0.52,0.0
2015-04,0.0245596482681274,0.0059,-0.030899999999999997,0.0182,0.06,-0.61,0.0
2015-05,0.009170166718852624,0.013600000000000001,0.0083,-0.011399999999999999,-1.79,-0.74,0.0
2015-06,-0.028108338421761414,-0.015300000000000001,0.028999999999999998,-0.0079,0.44,-1.58,0.0
2015-07,0.037342522367922015,0.0154,-0.0455,-0.041299999999999996,0.3,-2.41,0.0
2015-08,-0.06532283242163917,-0.0604,0.0025,0.0277,0.68,1.19,0.0
2015-09,0.009476419430534788,-0.030699999999999998,-0.0279,0.005600000000000001,1.77,-0.58,0.0
2015-10,0.1086869242385895,0.0775,-0.0207,-0.0046,0.88,0.52,0.0
2015-11,-0.005148061989193153,0.005600000000000001,0.0331,-0.0042,-2.75,-0.99,0.0
2015-12,-0.025689169570595416,-0.0217,-0.029900000000000003,-0.026099999999999998,0.5,-0.02,0.0001
